cycle,relative_timestep,attribution,absolute_attribution
94,-29,3.8876448,3.8876448
95,-28,2.5733051,2.5733051
96,-27,-1.7335095,1.7335095
97,-26,4.376771,4.376771
98,-25,4.582803,4.582803
99,-24,4.0647764,4.0647764
100,-23,4.67811,4.67811
101,-22,3.4779308,3.4779308
102,-21,6.748578,6.748578
103,-20,3.7174137,3.7174137
104,-19,3.3798313,3.3798313
105,-18,2.740054,2.740054
106,-17,2.6922185,2.6922185
107,-16,1.0400959,1.0400959
108,-15,-1.0977309,1.0977309
109,-14,-1.1517578,1.1517578
110,-13,-3.7973597,3.7973597
111,-12,-4.375531,4.375531
112,-11,-10.106537,10.106537
113,-10,-11.966998,11.966998
114,-9,-9.149223,9.149223
115,-8,-12.797474,12.797474
116,-7,-11.716495,11.716495
117,-6,-14.313643,14.313643
118,-5,-13.87303,13.87303
119,-4,-16.35078,16.35078
120,-3,-13.818766,13.818766
121,-2,-11.047084,11.047084
122,-1,-8.943242,8.943242
123,0,-3.7945752,3.7945752
