Coalition,t (event index),Shapley Value
Sum of contribution of events > t,0,-8.58306884765625e-06
Sum of contribution of events ≤ t,0,-102.0449686050415
Sum of contribution of events > t,-1,-2.283143997192383
Sum of contribution of events ≤ t,-1,-99.76183319091797
Sum of contribution of events > t,-2,-7.990052223205566
Sum of contribution of events ≤ t,-2,-94.05492496490479
Sum of contribution of events > t,-3,-16.941075325012207
Sum of contribution of events ≤ t,-3,-85.10390186309814
Sum of contribution of events > t,-4,-32.10843753814697
Sum of contribution of events ≤ t,-4,-69.93653964996338
Sum of contribution of events > t,-5,-53.88145351409912
Sum of contribution of events ≤ t,-5,-48.16352367401123
Sum of contribution of events > t,-6,-71.8433256149292
Sum of contribution of events ≤ t,-6,-30.201651573181152
Sum of contribution of events > t,-7,-87.15946006774902
Sum of contribution of events ≤ t,-7,-14.885517120361328
Sum of contribution of events > t,-8,-95.83516597747803
Sum of contribution of events ≤ t,-8,-6.209811210632324
Sum of contribution of events > t,-9,-101.69355010986328
Sum of contribution of events ≤ t,-9,-0.3514270782470703
Sum of contribution of events > t,-10,-104.2979850769043
Sum of contribution of events ≤ t,-10,2.2530078887939453
Sum of contribution of events > t,-11,-106.63731670379639
Sum of contribution of events ≤ t,-11,4.592339515686035
Sum of contribution of events > t,-12,-108.1150016784668
Sum of contribution of events ≤ t,-12,6.070024490356445
Sum of contribution of events > t,-13,-108.78633689880371
Sum of contribution of events ≤ t,-13,6.741359710693359
Sum of contribution of events > t,-14,-109.4658784866333
Sum of contribution of events ≤ t,-14,7.420901298522949
Sum of contribution of events > t,-15,-109.78868913650513
Sum of contribution of events ≤ t,-15,7.743711948394775
Sum of contribution of events > t,-16,-110.32161092758179
Sum of contribution of events ≤ t,-16,8.276633739471436
Sum of contribution of events > t,-17,-110.43998575210571
Sum of contribution of events ≤ t,-17,8.395008563995361
Sum of contribution of events > t,-18,-110.48326969146729
Sum of contribution of events ≤ t,-18,8.438292503356934
Sum of contribution of events > t,-19,-110.29089403152466
Sum of contribution of events ≤ t,-19,8.245916843414307
Sum of contribution of events > t,-20,-110.02557802200317
Sum of contribution of events ≤ t,-20,7.980600833892822
Sum of contribution of events > t,-21,-109.50147867202759
Sum of contribution of events ≤ t,-21,7.456501483917236
Sum of contribution of events > t,-22,-108.53986644744873
Sum of contribution of events ≤ t,-22,6.494889259338379
Sum of contribution of events > t,-23,-107.91273832321167
Sum of contribution of events ≤ t,-23,5.867761135101318
Sum of contribution of events > t,-24,-107.01283359527588
Sum of contribution of events ≤ t,-24,4.967856407165527
Sum of contribution of events > t,-25,-106.09678554534912
Sum of contribution of events ≤ t,-25,4.0518083572387695
Sum of contribution of events > t,-26,-104.93080234527588
Sum of contribution of events ≤ t,-26,2.8858251571655273
Sum of contribution of events > t,-27,-103.6631669998169
Sum of contribution of events ≤ t,-27,1.618189811706543
Sum of contribution of events > t,-28,-104.16122436523438
Sum of contribution of events ≤ t,-28,2.1162471771240234
Sum of contribution of events > t,-29,-103.3869047164917
Sum of contribution of events ≤ t,-29,1.3419275283813477
Sum of contribution of events > t,-30,-102.0449686050415
Sum of contribution of events ≤ t,-30,-8.58306884765625e-06
